u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
18.799944,17.634205,17.139801,16.944754,16.933258,180.1481821,23.05625326
20.940395,18.400164,17.118683,16.442024,16.103516,180.1216557,24.84859067
20.912315,20.110437,19.74157,19.562986,19.386492,180.1216683,22.2070891
20.459682,19.141472,18.622566,18.4795,18.279274,180.1483329,21.227839
20.073172,17.828339,16.820639,16.359026,16.082508,180.1217711,24.88634991
20.12282,18.858978,18.397064,18.165201,18.081732,180.0265867,21.78837557
19.739218,18.793751,18.540812,18.38904,18.340237,180.0262447,20.73712985
19.889723,19.81925,19.609661,19.60763,19.515221,180.020695,24.16236096
20.278362,18.503353,17.829,17.536373,17.405666,180.0206563,20.76076617
19.520779,18.445763,18.022568,17.84433,17.76528,180.0170054,23.9474413
17.200033,16.062773,15.672537,15.513037,15.473737,180.0167338,24.32081735
19.018324,18.504177,18.316927,18.285234,18.21961,180.0163814,20.95375605
17.450335,16.525385,16.330074,16.250713,16.250319,180.0152769,24.69211914
19.035929,16.84935,15.972933,15.663404,15.520983,180.0254038,22.69532191
19.072243,18.895405,18.885942,18.766068,18.81148,180.0104339,22.33791335
20.411526,19.473034,19.212183,19.078678,19.042442,180.0038691,23.84036257
18.452978,17.346521,16.926596,16.817747,16.748041,180.0032567,21.84998233
18.953552,17.39752,16.812513,16.625404,16.524443,180.0317813,20.02557943
20.359028,19.482769,19.152069,18.976408,19.022093,180.0378727,22.87463733
20.624451,19.668774,19.404305,19.328377,19.390709,180.0391762,22.27337554
19.127077,17.18796,16.416279,16.080109,15.909014,180.0166705,21.45625154
19.907005,18.923241,18.634323,18.499298,18.446133,180.0107643,20.74143903
19.020805,18.141081,17.849199,17.764954,17.798298,180.0502969,24.50972734
20.450481,19.331732,18.95635,18.833117,18.745184,180.0099239,20.03412991
18.09556,16.924866,16.500095,16.341459,16.27899,180.0036888,21.53865336
20.279959,20.170229,19.725386,19.624332,19.708973,180.0032053,20.66952707
20.289865,18.850267,18.291569,18.071287,17.916456,180.0322472,24.09950349
19.669209,18.062838,17.434221,17.2171,17.09823,180.0430934,21.81651416
20.877314,20.164894,19.862577,19.748423,19.574675,180.0267994,22.78374489
20.222618,18.725412,18.166016,17.931484,17.82852,180.0435341,23.54642359
20.099213,19.115973,18.810354,18.717842,18.7491,180.0593644,22.26592276
20.591389,19.586912,19.230124,19.297199,19.343424,180.0435455,23.04059914
19.805634,18.67837,18.149837,17.926418,17.808453,180.0382463,20.87430266
20.134571,18.331402,17.556147,17.282064,17.12928,180.0383963,20.82042961
19.677597,18.852289,18.596613,18.497108,18.477858,180.0679072,24.79420694
20.511286,20.345655,20.293976,19.998974,19.964651,180.0388445,20.00636022
19.308609,18.118608,17.631105,17.539644,17.541538,180.0435505,22.95220321
19.279388,19.126081,18.78549,18.637955,18.493267,180.0395427,21.50711853
18.002596,16.84252,16.435371,16.261667,16.245094,180.0161853,21.47328626
18.968769,17.239731,16.611118,16.377144,16.248367,180.0504716,20.00280602
20.67098,19.642742,19.282135,19.125935,19.158089,180.0420084,22.15614826
20.494711,18.838989,18.121386,17.832054,17.718962,180.0749641,24.12358711
20.905577,20.917217,20.840933,20.453726,20.225542,180.0429596,20.73417893
19.786842,18.611399,18.166927,18.006147,17.92255,180.0430468,23.55802737
19.916981,20.027077,19.937481,19.832687,19.637835,180.0323635,21.93542277
20.805761,18.269537,16.820282,15.658881,15.054125,180.0589203,24.22366116
19.997698,17.607288,16.384245,15.782478,15.391088,180.0318327,24.49141823
20.85648,19.895525,19.584463,19.433683,19.493315,180.0805838,20.02861314
17.177111,15.968022,15.576487,15.479668,15.434489,180.0806069,23.39307988
20.36224,19.033407,18.397314,18.24263,18.10393,180.0806392,22.63103847
19.544527,18.587582,18.216221,18.161228,18.188253,180.0591056,21.67318365
20.747252,18.729567,17.890703,17.606565,17.414946,180.0593432,24.27083509
20.696878,18.520346,17.621857,17.289188,17.157301,180.0594247,21.33603515
19.884768,18.605442,18.188049,18.028008,18.005238,180.0379485,24.07669231
20.737383,19.494101,18.900345,18.6476,18.581892,180.0603557,20.84452583
19.597401,19.184978,18.903376,18.757654,18.576864,180.0380184,23.91676618
20.983286,18.412689,17.078373,16.4848,16.143309,180.0607687,23.75229199
18.601564,17.664309,17.381783,17.289366,17.276653,180.1055894,24.34711487
20.942827,19.669783,19.219194,19.08844,19.026285,180.0683694,22.24907933
20.200413,19.289089,19.017288,18.927425,18.972282,180.0684576,21.82503721
19.938465,19.662443,19.469761,19.522381,19.463831,180.1069236,20.77692676
19.560408,19.741152,19.310951,19.336824,19.324299,180.0689041,21.46969846
19.307192,18.407776,18.639957,18.009909,18.03467,180.0693562,20.0153098
17.146261,16.053173,15.659604,15.546419,15.526999,180.0391316,20.46241748
20.427313,17.848446,16.595095,16.101093,15.814423,180.0419565,23.07612124
18.284927,17.270033,17.019564,16.959829,16.995207,180.0507203,21.03215709
19.953386,18.003872,17.255033,16.958265,16.782715,180.0511139,20.90506099
19.938713,18.163633,17.408871,17.146824,17.039375,180.051129,23.12017018
20.779402,19.005808,18.278975,17.979439,17.774376,180.0756502,20.43995361
19.578932,18.57304,18.293663,18.16551,18.254557,180.1175471,23.33004358
19.29777,18.375322,18.136675,18.074198,18.086449,180.117919,24.60817835
18.978252,17.768932,17.233683,17.0021,16.969091,180.0803747,24.58710684
19.108955,17.755983,17.230471,17.09384,16.938562,180.0807938,23.30399453
17.232578,16.068941,15.68714,15.587647,15.538314,180.0808301,23.32462884
19.883127,18.621546,18.124634,17.944424,17.857677,180.0966958,20.02536458
20.617577,19.037638,18.328991,18.198391,18.006346,180.0969153,22.59251164
19.015543,17.835169,17.370941,17.176922,17.120857,180.0983648,22.178229
20.42008,18.594444,17.79467,17.712736,17.580997,180.0983733,22.98993346
20.471886,18.323921,17.286037,16.852617,16.690079,180.1055207,24.07191415
20.991953,18.789072,17.765001,17.447685,17.288967,180.1057508,21.20386326
18.506622,17.08354,16.566387,16.382648,16.308388,180.1059584,20.47268158
18.774107,17.540487,17.224844,17.124189,17.093864,180.1133361,23.46831256
18.664371,16.554943,15.690495,15.382909,15.232145,180.1136456,20.70525738
20.579832,19.715832,19.297802,19.142216,19.139833,180.0690524,23.61141544
20.715256,18.161486,16.909155,16.365681,16.063391,180.0391296,20.43866889
17.58526,16.644917,16.393007,16.269913,16.261309,180.1137174,23.2715169
19.416153,18.094763,17.551413,17.413628,17.336641,180.1139857,22.11893607
18.328495,17.168287,16.766563,16.639027,16.603724,180.0746601,20.57170579
20.455561,18.649565,18.010326,17.722185,17.626644,180.1141865,23.42556197
20.451883,18.367571,17.470266,17.129642,16.924063,180.0752366,21.90375278
18.149715,16.488907,15.873666,15.673216,15.606581,180.1147087,22.38305986
19.295444,17.975058,17.450121,17.289658,17.207253,180.075368,22.41363269
18.256731,17.094065,16.579224,16.369572,16.283278,180.1147765,23.21907622
20.125135,19.981718,19.97982,19.880211,19.606733,180.0755591,21.76131716
17.520401,16.451105,16.192509,16.119432,16.13011,180.1184996,20.13829768
20.175985,18.372326,17.614365,17.439085,17.316885,180.1188657,22.08008532
20.822968,18.267401,16.894377,16.169476,15.829625,180.1298623,22.24842021
20.042057,19.166643,18.975075,18.887573,18.917629,180.1299037,21.55210266
18.704233,16.541729,15.653204,15.336585,15.189201,180.1299679,24.91483259
20.664021,19.423487,19.085026,18.818804,18.69842,180.1301369,22.85027084
20.748581,18.624092,17.72426,17.436979,17.258375,180.1305232,24.24783388
18.350819,17.792229,17.609137,17.617468,17.600521,180.130537,21.71149872
20.873964,20.052574,19.786543,19.739214,19.636099,180.1312435,22.01703677
20.282677,18.933746,18.631235,18.393766,18.46632,180.1614775,22.94071892
18.167917,16.838371,16.316462,16.126411,16.020931,180.1619448,22.37142979
17.946177,16.982647,16.783743,16.692944,16.683653,180.1317299,23.66229737
18.06284,17.185749,16.871641,16.722975,16.750576,180.1317503,23.71081267
18.681015,17.035461,16.38401,16.302143,16.038542,180.135076,24.7356302
17.350227,16.237669,15.847216,15.682787,15.704227,180.1352516,24.90548561
20.741909,19.213572,18.674427,18.442989,18.36364,180.1720031,21.15071573
20.333593,18.794788,18.229126,18.026493,17.933958,180.1355175,20.1142113
20.289602,19.172169,18.784786,18.647882,18.547066,180.1355806,20.9338949
19.072802,18.199877,17.92634,17.798473,17.82691,180.1424128,24.5581124
18.067177,16.996044,16.65103,16.498329,16.516129,180.1175155,21.91477579
19.259279,17.812391,17.277121,17.096449,16.942883,180.1433558,21.89092333
19.325109,17.180473,16.413813,16.090809,15.932283,180.1436932,24.70890127
18.867996,16.906034,16.157711,15.91491,15.776173,180.1437869,22.56064959
20.637606,19.164768,18.587599,18.406258,18.332611,180.150668,23.08471598
20.489916,19.4746,19.180321,19.073698,19.007963,180.0302473,23.20467146
20.664549,17.926394,16.566893,15.810109,15.422183,180.0296734,24.68782913
17.780771,16.719542,16.34907,16.207041,16.177788,180.0251147,20.11298669
20.471281,19.363459,18.839884,18.71734,18.61743,180.0237972,21.1283037
20.426661,19.088947,18.522577,18.273851,18.128872,180.0234899,23.81536458
18.969471,17.419668,16.822958,16.630058,16.589235,180.0184714,22.50566431
20.87705,18.376341,16.947531,16.120623,15.645173,180.0172287,21.04856336
20.927116,19.522043,18.919441,18.683922,18.540878,180.0047578,22.52016392
16.858658,15.740145,15.346256,15.110519,15.111226,180.0445156,22.85451415
19.268633,16.989742,16.011002,15.697838,15.5274,180.0448578,22.06465825
20.092869,18.875277,18.3906,18.188595,18.130014,180.0452286,20.86293682
20.404181,17.844164,16.69154,16.227234,15.964865,180.0294873,24.3111111
20.768791,19.913626,19.530346,19.434052,19.426872,180.0611317,22.47703499
19.894911,18.420816,17.851488,17.627361,17.49753,180.0236241,20.29444696
20.515553,20.404964,20.086926,19.973051,20.004639,180.0183982,22.36805578
18.430222,17.142967,16.64296,16.471733,16.412373,180.0174491,22.33503293
20.331728,19.422947,18.971664,18.778236,18.70039,180.0116395,22.82641654
17.360777,15.791082,15.288268,15.131422,15.096881,180.0059802,23.67010726
20.706839,20.338127,20.027933,20.178854,20.011305,180.0446997,23.13268768
19.415659,18.309465,17.908279,17.728859,17.724468,180.0626725,21.35271995
20.177746,19.30409,18.916656,18.747829,18.768345,180.0826538,23.20467879
20.612312,20.511667,20.342205,20.261347,20.096737,180.0309995,20.54752372
20.398941,19.512804,19.264002,19.230665,19.135138,180.0627349,23.17087959
20.38698,17.632652,16.317888,15.742501,15.422018,180.0298285,20.36403166
20.220682,19.426737,19.12359,19.020445,19.033991,180.045673,23.33817976
19.820583,18.896885,18.588808,18.473482,18.39843,180.0712726,20.86096799
19.464931,18.386848,18.049089,17.912695,17.919397,180.061375,20.51929003
20.584244,19.602911,19.372334,19.267427,19.256016,180.0620312,24.49530399
17.681248,16.397417,15.953981,15.815561,15.785975,180.0178709,24.14715484
19.791346,18.268673,17.684021,17.451389,17.269665,180.0622339,20.17122022
18.836412,17.403395,16.83843,16.678223,16.587492,180.0128434,21.00915841
20.737499,19.865505,19.411434,19.227701,19.150866,180.0117537,23.31982515
20.399237,18.520893,17.81378,17.540743,17.407513,180.0062498,21.56117331
20.965647,19.997793,19.686993,19.61104,19.5439,180.0057802,20.27989345
17.687336,16.356873,15.87091,15.736919,15.709753,180.095928,23.53865302
19.91604,18.414608,17.889547,17.725592,17.658499,180.0053655,24.94702195
19.395798,17.579981,16.858301,16.666573,16.533327,180.0623526,23.30733491
19.67643,17.53216,16.648975,16.313759,16.212456,180.082246,22.25333554
20.218346,17.927208,16.745382,16.273172,16.002993,180.0828638,23.17328459
18.594526,17.444975,16.900198,16.749235,16.682249,180.083118,22.10423795
20.924742,20.072773,19.836382,19.714205,19.79985,180.0832505,24.80618774
20.113966,19.155289,18.908134,18.81292,18.787285,180.0834168,20.03887752
19.562939,18.580893,18.178953,18.092236,18.066351,180.070134,22.47242676
18.224424,16.589998,15.965257,15.744165,15.640009,180.0702159,23.55209884
17.73838,16.718304,16.370499,16.240177,16.222361,180.0706026,24.84799335
18.878242,17.957151,17.739796,17.606293,17.585621,180.0839741,20.97371071
20.758741,19.748159,19.402216,19.299562,19.277088,180.0882319,21.49362889
19.577578,18.224483,17.510002,17.393732,17.244743,180.0899976,22.58309923
16.896948,15.648803,15.231026,15.083818,15.070922,180.0901144,20.75704232
18.500658,17.627258,17.317816,17.190132,17.174818,180.0820098,23.23309054
19.984335,18.666805,18.208946,18.072895,18.00453,180.0901474,22.8854138
20.095066,18.223492,17.444578,17.14208,17.003582,180.0945519,23.20940792
18.87711,17.683695,17.845282,18.003107,18.07958,180.0947542,21.5273647
20.755342,19.753502,19.344601,19.240971,19.213858,180.0822235,20.80313376
18.458611,17.419302,17.025156,16.913122,16.893452,180.00518,20.78618029
20.047182,19.919706,19.740528,19.339455,19.271488,180.103799,24.40243559
20.214499,19.39287,19.069027,18.950928,18.895395,180.1038388,23.87393664
17.659288,15.94604,15.276854,15.071789,15.013858,180.1041233,24.9201457
19.631304,18.309837,17.782974,17.557472,17.455549,180.104334,24.47212322
20.656544,20.40353,20.397024,20.306934,20.192333,180.1112465,20.5012548
17.92971,16.76716,16.32024,16.199772,16.140215,180.1114959,23.56630594
20.918697,19.219475,18.414913,18.149023,18.029579,180.0836025,24.38336309
20.933388,20.200727,19.930504,19.847681,19.774343,180.1122424,21.41378359
20.285086,17.598812,16.297125,15.688687,15.35239,180.1126077,20.12128224
17.501612,16.056839,15.510077,15.305572,15.269803,180.112907,23.35900182
18.420324,17.027338,16.505102,16.349596,16.295908,180.1157395,23.07335528
19.273787,17.326401,16.571024,16.305182,16.178255,180.1363092,20.74614115
20.436954,18.703762,17.922169,17.669462,17.51379,180.0945079,21.60344535
20.218683,19.213533,18.901398,18.790028,18.809492,180.0821155,24.38540672
17.670053,16.417097,15.948196,15.725902,15.740641,180.1016086,23.67587133
18.829655,17.406507,16.725172,16.536001,16.395401,180.1020893,21.62265208
18.936537,17.964497,17.624784,17.489351,17.492228,180.1380331,23.51223949
20.986364,19.819004,19.195545,18.956869,18.857115,180.1024183,20.81118522
18.522026,17.536484,17.020187,16.888958,16.875542,180.1037037,21.38690572
20.801249,19.86764,19.613897,19.528259,19.53104,180.1171845,20.62331192
20.202053,19.030331,18.744982,18.587851,18.510324,180.117351,22.87753605
19.62145,18.695789,18.374132,18.280718,18.292892,180.1238603,23.25039072
20.098875,19.218456,18.864191,18.692492,18.617579,180.1240557,23.47911847
17.804234,16.408154,15.880694,15.725574,15.649047,180.1576334,20.78972191
20.699774,18.873629,18.101444,17.911158,17.692087,180.1242165,21.77383173
19.039093,17.556036,16.941376,16.738544,16.608721,180.1325709,22.83777708
20.775183,18.187368,16.833221,15.993459,15.590479,180.1327923,22.32037161
17.886791,16.730869,16.328003,16.281048,16.194399,180.1332355,21.2537939
19.506691,17.792017,17.04257,16.801451,16.666029,180.1333314,21.06495786
18.532694,18.96788,19.504232,19.831697,20.042919,180.1155381,22.87026166
19.198746,18.211191,17.853407,17.812546,17.743198,180.115672,22.6119271
20.673328,19.758135,19.584236,19.472412,19.565178,180.116078,20.96578117
20.988632,19.826771,19.445141,19.283693,19.260454,180.1161481,21.0205763
20.517221,17.855036,16.513144,15.910443,15.59298,180.1368224,23.889174
18.231667,17.308901,16.946659,16.826506,16.821108,180.1162348,24.63807167
19.305998,18.421154,18.051735,17.898302,17.876915,180.1712526,23.06237078
17.785528,16.437187,16.004116,15.827331,15.740868,180.1162515,20.92105342
20.624495,19.658909,19.362436,19.307934,19.278818,180.1167412,21.11867303
19.474949,18.574776,18.320553,18.238333,18.263447,180.1375791,20.86024698
18.437731,16.690969,15.982637,15.78308,15.68079,180.1168174,24.21532108
18.510469,17.49502,17.151159,17.05361,17.044464,180.1463593,23.17249597
17.370852,16.277874,15.956981,15.789533,15.811781,180.1464301,24.96887103
20.890907,20.030134,19.773418,19.651564,19.695568,180.1571271,24.46375642
19.872362,18.691502,18.232262,18.067902,17.974163,180.1573658,20.14842196
20.997503,19.624979,19.127581,19.106308,18.861406,180.1580152,21.20515282
18.726664,17.602768,17.223181,17.114594,16.875338,180.1582034,21.11092465
18.431742,17.485611,17.177641,17.023766,17.000072,180.1584719,21.94797872
17.444138,16.199465,15.739335,15.628701,15.598689,180.1652463,23.59819804
20.346506,19.341103,18.981377,18.846027,18.900913,180.1657256,22.14660376
20.350349,18.957106,18.397316,18.21657,18.122595,180.1989066,21.09165845
19.189583,17.730095,17.26469,17.063683,16.974678,180.1660042,20.0408108
20.966459,20.026218,19.834272,19.811739,19.702967,180.1660693,21.87600946
17.245373,16.122395,15.71814,15.564824,15.606777,180.166219,22.95859063
20.826378,19.795868,19.510448,19.365772,19.357853,180.1366409,20.7725297
20.691572,19.799603,19.437813,19.320524,19.176186,180.1664623,21.16274127
18.581646,17.642885,17.360073,17.248894,17.234705,180.1667748,24.94374534
20.424889,17.8857,16.485331,15.617442,15.10889,180.136944,22.53332414
20.663643,18.283491,17.012594,16.464338,16.116795,180.1446192,22.56659147
20.943529,19.191956,18.494974,18.235039,18.08223,180.0718466,24.31587019
20.049496,19.154598,18.862913,18.771351,18.803349,180.0661288,23.22310236
19.079594,18.06262,17.699963,17.548531,17.535912,180.0660477,24.13134419
19.877424,19.004091,18.750874,18.659565,18.621624,180.0654891,20.68500807
18.865643,18.004637,17.737852,17.588793,17.564247,180.0580048,20.8260011
20.145496,19.100302,18.614391,18.394276,18.301905,180.0569643,24.37554795
17.770086,16.572166,16.167742,15.962827,15.926944,180.0568332,22.85712639
20.558832,19.635733,19.327562,19.25322,19.238926,180.0543802,21.27707873
19.840551,18.393679,17.802746,17.612556,17.526913,180.0526218,22.23301895
18.902199,17.939228,17.642309,17.532703,17.563047,180.0496247,23.39384204
17.470648,16.369688,15.996321,15.871245,15.803594,180.04912,21.53584482
20.559284,18.842731,18.208519,17.99976,17.853651,180.0489125,20.2717239
18.62508,17.571243,17.131781,16.948114,16.907681,180.0487227,24.68555605
20.367823,19.385956,19.091476,19.000742,19.051319,180.0483579,21.00989991
20.172705,18.059336,17.211588,16.933321,16.797506,180.0411008,22.80279043
17.825329,16.726213,16.370415,16.253534,16.213448,180.0405506,23.20309288
20.993631,20.118126,19.763531,19.61936,19.649862,180.0399649,24.81727038
19.828934,18.870302,18.546618,18.413189,18.374125,180.0001775,23.78303837
20.242754,19.054567,18.432566,18.22134,18.157045,180.0735423,21.03147708
20.773996,17.936878,16.528074,15.612105,15.141351,180.0735242,20.09037211
20.029188,19.050457,18.713728,18.626244,18.640045,180.0732311,24.39271899
20.105526,18.97286,18.581568,18.400347,18.363573,180.0728411,24.35590077
16.522285,16.429401,16.335629,16.359701,16.316877,180.0722158,23.84660944
19.820576,17.814444,17.01594,16.751436,16.583387,180.0714747,22.40415847
17.643209,16.311455,15.847698,15.812468,15.786072,180.0781314,23.4566948
17.683966,16.203537,15.713627,15.486812,15.368693,180.1080217,22.8660153
20.237402,17.715199,16.524101,16.022877,15.752493,180.0787874,21.53182862
17.724968,16.841133,16.558765,16.461428,16.439547,180.0584997,22.69830354
20.162374,17.500761,16.166021,15.639531,15.337105,180.079547,21.78889805
18.5574,17.444092,17.053091,17.005413,16.933302,180.0796224,22.93222353
20.675764,19.766483,19.339653,19.162029,19.129953,180.0797384,21.14674179
20.675011,19.683979,19.354851,19.299324,19.208147,180.1267837,21.1921343
18.109081,16.303141,15.585523,15.355448,15.249609,180.1271785,23.12915168
20.483292,18.813448,17.951641,17.970869,17.809566,180.0864271,23.05312441
18.27787,17.366365,17.134212,17.072863,17.057886,180.0864921,23.39556984
20.28318,19.346088,18.982437,18.870907,18.880035,180.1419274,20.27294186
18.596451,17.315874,16.905468,16.759741,16.696169,180.1419788,24.47785005
