u_mag,g_mag,r_mag,i_mag,z_mag
17.318247,16.23003,15.864549,15.725733,15.704926
17.66699,16.07902,15.538475,15.366304,15.313726
17.84703,16.625347,16.17405,15.996408,15.917717
18.89048,16.755863,15.922439,15.633537,15.506411
18.032488,16.86618,16.488537,16.359398,16.272497
19.212795,17.986967,17.498785,17.342072,17.261414
16.984034,15.83876,15.480555,15.334954,15.29448
17.950193,16.742523,16.330845,16.132423,16.119759
17.654612,16.599854,16.235828,16.08615,16.074078
18.966906,16.981459,16.265497,15.917465,15.784346
19.60099,17.059505,15.932835,15.491552,15.250054
17.686111,16.209719,15.663004,15.463229,15.367812
17.757172,16.700733,16.35921,16.203417,16.186184
19.276587,17.987371,17.488018,17.296738,17.213753
18.493355,16.787767,16.120825,15.896061,15.761302
20.045881,17.776724,16.817652,16.51072,16.333801
18.63267,16.486675,15.55827,15.216899,15.025755
20.085493,17.741201,16.736818,16.363897,16.070456
18.182661,16.94478,16.488787,16.326756,16.282894
18.703098,17.252745,16.70344,16.501076,16.421972
18.354885,17.151758,16.63982,16.466656,16.38119
19.182432,17.445623,16.775656,16.6101,16.465021
19.17387,17.838564,17.323093,17.173243,17.050777
18.22338,17.105238,16.736319,16.546114,16.621248
18.803114,17.9481,17.632486,17.525045,17.48078
19.957733,17.309298,16.152351,15.66451,15.358212
18.27286,17.379383,17.178343,17.113295,17.079765
18.528194,16.697409,15.98352,15.748357,15.663429
18.18995,16.42002,15.820323,15.545712,15.419997
17.19453,16.03875,15.609221,15.425111,15.339667
17.103323,16.162455,15.793494,15.687959,15.656246
20.133139,17.984276,17.196035,16.9323,16.754473
20.117018,17.576178,16.362057,15.915828,15.66322
20.306168,17.872198,16.745062,16.295576,16.10247
18.665688,17.286102,16.737616,16.529915,16.427431
18.587019,17.412642,16.977331,16.803068,16.708525
19.070948,17.87086,17.437109,17.266335,17.180649
18.55214,17.424313,17.096704,16.959898,16.943031
20.445808,17.97605,16.959364,16.568428,16.381445
17.85009,16.714724,16.405863,16.308727,16.200249
18.337051,17.110144,16.664885,16.501646,16.442532
19.586634,16.984678,15.858336,15.423106,15.203546
18.762041,17.791168,17.52255,17.434858,17.409597
18.55274,17.49668,17.157425,17.030163,16.969599
19.763098,17.881462,17.154879,16.879076,16.74874
16.957458,15.747527,15.26073,16.333279,15.015157
18.74792,17.40207,16.882946,16.64446,16.532536
17.025557,15.768666,15.324935,15.155535,15.131536
17.130453,16.293938,16.02809,15.935175,15.913962
18.66778,16.79794,16.02141,15.710502,15.596268
18.474903,17.33451,16.871738,16.676184,16.647945
17.06712,15.851478,15.404222,15.286002,15.254862
18.736149,17.919806,17.612925,17.498848,17.470053
18.353699,17.195374,16.745367,16.6084,16.545145
18.378784,16.899918,16.34598,16.163162,16.101406
18.707293,17.04302,16.36539,16.093658,15.970222
18.771936,17.14306,16.450327,16.228168,16.118023
17.558903,16.429363,16.02051,15.880724,15.837339
18.655272,16.831259,16.15823,15.95657,15.868154
17.608248,16.459188,16.032925,15.865183,15.832159
17.393744,16.266655,15.869626,15.724429,15.707621
16.953535,15.916294,15.553092,15.421179,15.42599
