Title,Director,Cast,Country,"Subgenre/Notes
"
Tron: Legacy,Joseph Kosinski,"['Jeff Bridges', 'Garrett Hedlund', 'Olivia Wilde']",United States,Action adventure
Universal Soldier: Regeneration,John Hyams,"['Jean-Claude Van Damme', 'Dolph Lundgren']",United States,Action
Womb,Benedek Fliegauf,"['Eva Green', 'Matt Smith']",Germany,Romantic drama
51,Jason Connery,"['Bruce Boxleitner', 'John Shea']",United States,Horror
7aum Arivu,A. R. Murugadoss,"['Surya Sivakumar', 'Shruti Haasan']",India,Thriller
The Adjustment Bureau,George Nolfi,"['Matt Damon', 'Emily Blunt']",United States,Romantic thriller
All-Star Superman,Sam Liu,"['James Denton', 'Christina Hendricks', 'Anthony LaPaglia']",United States,[8]
All Superheroes Must Die,Jason Trost,"['Jason Trost, ', 'Lucas Till', 'James Remar']",United States,Superhero film
Another Earth,Mike Cahill,"['William Mapother', 'Brit Marling']",United States,Drama
Apollo 18,Gonzalo López-Gallego,"['Lloyd Owen', 'Warren Christie']",United States,Horror
Area Q,Gerson Sanginitto,"['Isaiah Washington', 'Murilo Rosa', 'Tania Khalill']",Brazil,Thriller
Atlas Shrugged: Part I,Paul Johansson,"['Taylor Schilling', 'Grant Bowler']",United States,Mystery drama
Attack the Block,Joe Cornish,"['John Boyega', 'Nick Frost', 'Jodie Whittaker', 'Luke Treadaway']",United Kingdom,Action horror
Battle: Los Angeles,Jonathan Liebesman,"['Aaron Eckhart', 'Michelle Rodriguez', 'Michael Peña', 'Bridget Moynahan']",United States,Alien invasion
Captain America: The First Avenger,Joe Johnston,"['Chris Evans', 'Hugo Weaving', 'Samuel L. Jackson']",United States,Superhero
Cowboys & Aliens,Jon Favreau,"['Daniel Craig', 'Olivia Wilde', 'Harrison Ford', 'Sam Rockwell']",United States,Western
The Darkest Hour,Chris Gorak,"['Olivia Thirlby', 'Emile Hirsch']",United States,Action horror
Eva,Kike Maíllo,"['Daniel Brühl', 'Marta Etura', 'Alberto Ammann']",Spain,Drama
Extraterrestre,Nacho Vigalondo,"['Michelle Jenner', 'Carlos Areces', 'Julián Villagrán', 'Raúl Cimas']",Spain,Drama
Gantz,Shinsuke Sato,"['Kazunari Ninomiya', ""Ken'ichi Matsuyama""]",Japan,Action horror
Gantz: Perfect Answer,Shinsuke Sato,"['Kazunari Ninomiya', ""Ken'ichi Matsuyama""]",Japan,Action horror
Generation P,Victor Ginzburg,"['Vladimir Epifancev', 'Mixail Efremov', 'Andrei Fomin']",Russia,Comedy drama
Green Lantern,Martin Campbell,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard', 'Mark Strong']",United States,Superhero
Green Lantern: Emerald Knights,Christopher Berkeley,"['Nathan Fillion', 'Elisabeth Moss', 'Jason Isaacs']",United States,Animated superhero film
Hell,Tim Fehlbaum,"['Hannah Herzsprung', 'Lars Eidinger', 'Stipe Erceg']",Germany,Post-apocalyptic
O Homem do Futuro,Cláudio Torres,"['Wagner Moura', 'Alinne Moraes']",Brazil,Time travel
I Am Number Four,D. J. Caruso,"['Timothy Olyphant', 'Alex Pettyfer', 'Teresa Palmer', 'Dianna Agron']",United States,Action thriller
In Time,Andrew Niccol,"['Justin Timberlake', 'Olivia Wilde', 'Amanda Seyfried']",United States,Thriller
Limitless,Neil Burger,"['Bradley Cooper', 'Abbie Cornish', 'Robert De Niro']",United States,Mystery thriller
Love,William Eubank,['Gunner Wright'],United States,Drama
Mardock Scramble: The Second Combustion,Susumu Kudo,[],Japan,Anime film
Mars Needs Moms,Simon Wells,"['Seth Green', ' (voice), ', 'Joan Cusack', ' (voice), ', 'Elisabeth Harnois', ' (voice)']",United States,Animated action comedy
Melancholia,Lars von Trier,"['Kirsten Dunst', 'Kiefer Sutherland']",Denmark,Drama
Paul,Greg Mottola,"['Simon Pegg', 'Nick Frost', 'Seth Rogen', 'Kristen Wiig']",United Kingdom,Comedy
Phase 7,Nicolás Goldbart,"['Daniel Hendler', 'Jazmín Stuart', 'Federico Luppi']",Argentina,Comedy thriller
Priest,Scott Stewart,"['Paul Bettany', 'Karl Urban', 'Lily Collins']",United States,Action horror
The Prodigies,Antoine Charreyron,"['Jeffrey Evan Thomas', ' (voice), ', 'Lauren Ashley Carter', ' (voice), ', 'Moon Dailly', ' (voice)']",France,Animated
Ra.One,Anubhav Sinha,"['Shah Rukh Khan', 'Arjun Rampal', 'Kareena Kapoor']",India,Action superhero
Real Steel,Shawn Levy,"['Hugh Jackman', 'Evangeline Lilly']",United States,Action
Rise of the Planet of the Apes,Rupert Wyatt,"['James Franco', 'Freida Pinto', 'John Lithgow', 'Andy Serkis']",United States,Action drama
Source Code,Duncan Jones,"['Jake Gyllenhaal', 'Vera Farmiga', 'Michelle Monaghan', 'Jeffrey Wright']",France,Thriller
Super 8,J. J. Abrams,"['Joel Courtney', 'Elle Fanning', 'Kyle Chandler']",Canada,Mystery thriller
The Thing,Matthijs van Heijningen Jr.,"['Mary Elizabeth Winstead', 'Joel Edgerton']",United States,Horror
Thor,Kenneth Branagh,"['Chris Hemsworth', 'Tom Hiddleston', 'Natalie Portman', 'Anthony Hopkins']",United States,Superhero
Transformers: Dark of the Moon,Michael Bay,"['Shia LaBeouf', 'Rosie Huntington-Whiteley', 'Josh Duhamel', 'Tyrese Gibson']",United States,Action
X-Men: First Class,Matthew Vaughn,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",United States,Superhero
009 Re:Cyborg,Kenji Kamiyama,[],Japan,Anime film
Alien Origin,Mark Atkins,"['Chelsea Vincent', 'Peter Pedrero', 'Philip Coc', 'Trey McCurley', 'Daniela Flynn']",United States,Horror
The Amazing Spider-Man,Marc Webb,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",United States,Superhero
The Avengers,Joss Whedon,"['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson']",United States,[nb 4]
Batman: The Dark Knight Returns,Jay Oliva,"['Peter Weller', 'Ariel Winter', 'David Selby']",United States,Animated superhero film
Battleship,Peter Berg,"['Taylor Kitsch', 'Alexander Skarsgård', 'Liam Neeson']",United States,Action thriller
Branded,Jamie Bradshaw,"['Ed Stoppard', 'Leelee Sobieski', 'Jeffrey Tambor', 'Max von Sydow']",Russia,
Chronicle,Josh Trank,"['Michael B. Jordan', 'Dane DeHaan', 'Michael Kelly', 'Alex Russell']",United States,Action drama
Cloud Atlas,Tom Tykwer,"['Tom Hanks', 'Halle Berry', 'Hugh Grant', 'Susan Sarandon']",Germany,[nb 5]
Dredd,Pete Travis,"['Karl Urban', 'Olivia Thirlby', 'Lena Headey']",United Kingdom,
The Divide,Xavier Gens,"['Lauren German', 'Michael Biehn', 'Milo Ventimiglia', 'Rosanna Arquette']",Canada,Drama thriller
Grabbers,Jon Wright,"['Richard Coyle', 'Ruth Bradley', 'Russell Tovey']",Republic of Ireland,
The Hunger Games,Gary Ross,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",United States,[nb 6]
Iron Sky,Timo Vuorensola,"['Julia Dietze', 'Götz Otto', ', Christopher Kirby, ', 'Udo Kier']",Australia,Comedy
John Carter,Andrew Stanton,"['Taylor Kitsch', 'Lynn Collins', 'Willem Dafoe']",United States,Action adventure
Justice League: Doom,Lauren Montgomery,"['Kevin Conroy', 'Tim Daly', 'Nathan Fillion']",United States,Animated superhero film
Lockout,James Mather,"['Guy Pearce', 'Maggie Grace', 'Peter Stormare']",France,Action
Looper,Rian Johnson,"['Bruce Willis', 'Joseph Gordon-Levitt', 'Emily Blunt']",United States,
Mardock Scramble: The Third Exhaust,Susumu Kudo,[],Japan,Anime film
Mars et Avril,Martin Villeneuve,"['Jacques Languirand', 'Caroline Dhavernas', 'Paul Ahmarani', 'Robert Lepage']",Canada,"Drama, Fantasy"
Men in Black 3,Barry Sonnenfeld,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",United States,Comedy
Prometheus,Ridley Scott,"['Noomi Rapace', 'Charlize Theron', 'Michael Fassbender']",United States,"Action, Horror"
Resident Evil: Retribution,Paul W. S. Anderson,"['Milla Jovovich', 'Sienna Guillory', 'Michelle Rodriguez']",France,
Robot & Frank,Jake Schreier,"['Frank Langella', 'James Marsden', 'Peter Sarsgaard', 'Susan Sarandon']",United States,Drama
Safety Not Guaranteed,Colin Trevorrow,"['Aubrey Plaza', 'Mark Duplass', 'Jake Johnson']",United States,Comedy drama
Seeking a Friend for the End of the World,Lorene Scafaria,"['Steve Carell', 'Keira Knightley']",United States,Comedy drama
Strange Frame,GB Hajim,"['Claudia Black', ' (voice), ', 'Tim Curry', ' (voice)']",United States,"Cut-out animation, Musical"
Starship Troopers: Invasion,Shinji Aramaki,[],Japan,Computer animation
Storage 24,Johannes Roberts,"['Noel Clarke', 'Antonia Campbell-Hughes', 'Laura Haddock', ""Colin O'Donoghue""]",United Kingdom,[18]
Superman vs. The Elite,Michael Chang,"['George Newbern', 'Pauley Perrette', 'Robin Atkin Downes']",United States,Animated superhero film
Total Recall,Len Wiseman,"['Colin Farrell', 'Kate Beckinsale', 'Jessica Biel', 'Bryan Cranston']",United States,Cyberpunk action
Thermae Romae,Hideki Takeuchi,"['Hiroshi Abe', 'Aya Ueto']",Japan,Time travel comedy
Upside Down,Juan Diego Solanas,"['Jim Sturgess', 'Kirsten Dunst']",Canada,
The Watch,Akiva Schaffer,"['Ben Stiller', 'Vince Vaughn', 'Jonah Hill']",United States,Comedy
After Earth,M. Night Shyamalan,"['Will Smith', 'Jaden Smith']",United States,Action adventure
The A.R.K. Report,Shmuel Hoffman,"['Katy Castaldi', 'Pascal Yen-Pfister', 'Ayden Crispe']",Israel,Action
Batman: The Dark Knight Returns,Jay Oliva,"['Peter Weller', 'Ariel Winter', 'David Selby']",United States,Animated superhero film
The Colony,Jeff Renfroe,"['Laurence Fishburne', 'Bill Paxton', 'Kevin Zegers']",Canada,Post-apocalyptic
The Congress,Ari Folman,"['Robin Wright', ' (voice), ', 'Harvey Keitel', ' (voice), ', 'Jon Hamm', ' (voice), ', 'Paul Giamatti', ' (voice)']",Israel,Live action/animation
The Cosmonaut,Nicolás Alcalá,"['Katrine De Candole', 'Leon Ockenden', 'David Barrass']",Spain,
Dark Skies,Scott Stewart,"['Keri Russell', 'Josh Hamilton']",United States,Horror
Despicable Me 2,Pierre Coffin,"['Steve Carell', ' (voice), ', 'Kristen Wiig', ' (voice), ', 'Benjamin Bratt', ' (voice), ', 'Miranda Cosgrove', ' (voice), Dana Gaier (voice), Elsie Kate Fisher (voice), ', 'Steve Coogan', ' (voice)']",United States,Animated comedy film
Dick Figures: The Movie,Ed Skudder,"['Ed Skudder, Zack Keller, ', 'Eric Bauza', ', Mike Nassar']",United States,Adult-animated film
Elysium,Neill Blomkamp,"['Matt Damon', 'Jodie Foster', 'Wagner Moura', 'Alice Braga', 'Sharlto Copley']",United States,"Action, Drama"
Escape from Planet Earth,Cal Brunker,"['Brendan Fraser', ' (voice), ', 'Jessica Alba', ' (voice), ', 'Rob Corddry', ' (voice), ', 'Sarah Jessica Parker', ' (voice)']",United States,Animated
Europa Report,Sebastián Cordero,"['Sharlto Copley', 'Michael Nyqvist', 'Daniel Wu']",United States,Drama
Ender's Game,Gavin Hood,"['Asa Butterfield', 'Abigail Breslin', 'Harrison Ford']",United States,Young adult space opera
Frankenstein's Army,Richard Raaphorst,"['Karel Roden', 'Joshua Sasse', 'Robert Gwilym']",Netherlands,Sci-fi horror
Frequencies,Darren Paul Fisher,"['Daniel Fraser', 'Eleanor Wyld', 'Owen Pugh']",United Kingdom,Hard sf (different laws of physics)
G.I. Joe: Retaliation,Jon M. Chu,"['Dwayne Johnson', 'Channing Tatum', 'Bruce Willis']",United States,Action
Gatchaman,Tōya Satō,"['Tori Matsuzaka', 'Gō Ayano', 'Ayame Goriki']",Japan,
Gravity,Alfonso Cuarón,"['Sandra Bullock', 'George Clooney']",United Kingdom,Disaster film
Hard to Be a God,Aleksey German,"['Leonid Yarmolnik', 'Dmitriy Vladimirov', 'Laura Lauri', 'Aleksandr Ilin']",Russia,
Her,Spike Jonze,"['Joaquin Phoenix', 'Scarlett Johansson']",United States,"Drama, Romance"
The Hunger Games: Catching Fire,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",United States,
Independence Daysaster,W.D. Hogan,"['Ryan Merriman', 'Emily Holmes']",Canada,Action
The Host,Andrew Niccol,"['Saoirse Ronan', 'Diane Kruger', 'William Hurt']",United States,Romantic drama
Iron Man 3,Shane Black,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Ben Kingsley']",United States,Superhero
Krrish 3,Rakesh Roshan,"['Hrithik Roshan', 'Vivek Oberoi', 'Priyanka']",India,Superhero
Justice League: The Flashpoint Paradox,Jay Oliva,"['Justin Chambers', 'C. Thomas Howell', 'Michael B. Jordan']",United States,Animated superhero film
The Last Days,David Pastor,"['Quim Gutiérrez', 'José Coronado', 'Marta Etura']",Spain,Thriller
The Last Days on Mars,Ruairí Robinson,"['Liev Schreiber', 'Romola Garai', 'Elias Koteas']",Republic of Ireland,Thriller
The Machine,Caradog W. James,"['Caity Lotz', 'Toby Stephens']",United Kingdom,Thriller
Man of Steel,Zack Snyder,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",United States,Superhero
Oblivion,Joseph Kosinski,"['Tom Cruise', 'Andrea Riseborough', 'Olga Kurylenko', 'Morgan Freeman']",United States,Post-apocalyptic
Pacific Rim,Guillermo del Toro,"['Idris Elba', 'Charlie Day', 'Charlie Hunnam']",United States,Monster movie
The Purge,James DeMonaco,"['Lena Headey', 'Ethan Hawke']",United States,Dystopian thriller
Riddick,David Twohy,"['Vin Diesel', 'Katee Sackhoff', 'Karl Urban']",United States,[25]
Snowpiercer,Bong Joon-ho,"['Chris Evans', 'Song Kang-ho', 'Jamie Bell', 'Tilda Swinton', 'John Hurt', 'Ed Harris']",South Korea,Action thriller
Space Pirate Captain Harlock,Shinji Aramaki,[],Japan,Computer animated
Star Trek Into Darkness,J. J. Abrams,"['Chris Pine', 'Benedict Cumberbatch', 'Zachary Quinto', 'Zoe Saldana']",United States,Action adventure
Superman Unbound,James Tuker,"['Matt Bomer', 'Stana Katic', 'John Noble']",United States,Animated superhero film
Thor: The Dark World,Alan Taylor,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']",United States,Superhero
The Wolverine,James Mangold,"['Hugh Jackman', 'Rila Fukushima']",United Kingdom,Superhero
World War Z,Marc Forster,"['Brad Pitt', 'Mireille Enos', 'James Badge Dale']",United Kingdom,Post-apocalyptic zombie horror
The World's End,Edgar Wright,"['Simon Pegg', 'Nick Frost', 'Martin Freeman']",United Kingdom,Comedy
Young Ones,Jake Paltrow,"['Nicholas Hoult', 'Elle Fanning', 'Michael Shannon']",United States,
The Zero Theorem,Terry Gilliam,"['Christoph Waltz', 'Mélanie Thierry']",United Kingdom,"Drama, Fantasy"
The Amazing Spider-Man 2,Marc Webb,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",United States,Superhero
The Anomaly,Noel Clarke,"['Noel Clarke', 'Ian Somerhalder', 'Brian Cox']",United Kingdom,
Armor Hero Atlas,Zheng Guowei,"['Xu Feng, Cao Xiyue, Kenny Zeng']",China,Science fiction action
Army of Frankensteins,Ryan Bellgardt,"['Jordan Farris, Christian Bellgardt, Rett Terrell']",United States,Science fiction horror
Autómata,Gabe Ibáñez,"['Antonio Banderas', 'Melanie Griffith', 'Dylan McDermott ']",Spain,
Beyond,Joseph Baker and Tom Large,"['Richard J. Danum, Gillian MacGregor, Paul Brannigan']",United Kingdom,Independent psychological drama
Big Hero 6,Don Hall,"['Ryan Potter', ' (voice), ', 'Scott Adsit', ' (voice), ', 'Jamie Chung', ' (voice), ', 'Damon Wayans Jr.', ' (voice), ', 'Genesis Rodriguez', ' (voice), ', 'T. J. Miller', ' (voice)']",United States,Animation
Bodacious Space Pirates: Abyss of Hyperspace,Tatsuo Satō,[],Japan,
Bugs,Yan Jia,"['Xia Zitong, ', 'Zhang Zilin', 'Eric Wang']",China,Science fiction disaster thriller
Calculator,Dmitriy Grachev,"['Evgeniy Mironov', 'Vinnie Jones']",Russia,[32]
Captain America: The Winter Soldier,Russo brothers,"['Chris Evans', 'Scarlett Johansson', 'Anthony Mackie', 'Emily VanCamp']",United States,Superhero
Christmas Icetastrophe,Jonathan Winfrey,"['Victor Webster', 'Jennifer Spence']",United States,Television film
Coherence,James Ward Byrkit,"['Emily Baldoni', 'Maury Sterling', 'Nicholas Brendon']",United States,
Dawn of the Planet of the Apes,Matt Reeves,"['Jason Clarke', 'Kodi Smit-McPhee', 'Andy Serkis']",United States,
The Device,Jeremy Berg,"['Kate Alden', 'Angela DiMarco', 'Lorraine Montez']",United States,[34]
Divergent,Neil Burger,"['Shailene Woodley', 'Theo James', 'Ansel Elgort']",United States,
Earth to Echo,Dave Green,[],United States,
Edge of Tomorrow,Doug Liman,"['Tom Cruise', 'Emily Blunt', 'Bill Paxton']",Australia,Time travel action
Ejecta,Chad Archibald,"['Lisa Houle', 'Julian Richings', 'Adam Seybold']",Canada,
Expelled from Paradise,Seiji Mizushima,"['Rie Kugimiya', ' (voice), ', 'Shin-ichiro Miki', ' (voice), ', 'Hiroshi Kamiya', ' (voice)']",Japan,Anime film
The Giver,Phillip Noyce,"['Brenton Thwaites', 'Jeff Bridges', 'Meryl Streep', 'Taylor Swift']",United States,
Die Gstettensaga: The Rise of Echsenfriedl,Johannes Grenzfurthner,"['Lukas Tagwerker, Sophia Grabner, Jeff Ricketts']",Austria,Post-apocalyptic art house comedy
Godzilla,Gareth Edwards,"['Aaron Johnson', 'Elizabeth Olsen', 'Bryan Cranston']",Japan,Monster movie
Guardians of the Galaxy,James Gunn,"['Chris Pratt', 'Dave Bautista', 'Zoe Saldana']",United States,Superhero
The Hunger Games: Mockingjay – Part 1,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",United States,Young adult dystopia
Interstellar,Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Topher Grace', 'Michael Caine']",United Kingdom,Action drama
Justice League: War,Jay Oliva,"['Alan Tudyk', 'Shemar Moore', 'Steve Blum']",United States,Animated superhero film
Lucy,Luc Besson,"['Scarlett Johansson', 'Morgan Freeman']",France,Posthuman
The Maze Runner,Wes Ball,"[""Dylan O'Brien"", 'Will Poulter', 'Thomas Sangster', 'Aml Ameen']",United States,Young adult action
Outpost 37,Jabbar Raisani,"['Kenneth Fok', 'Stevel Marc', 'Joe Reegan']",South Africa,Action thriller
Mr. Peabody & Sherman,Rob Minkoff,"['Ty Burrell', 'Max Charles']",United States,
Parasyte: Part 1,Takashi Yamazaki,[],Japan,Horror
Predestination,Peter Spierig,['Ethan Hawke'],Australia,Time travel
The Purge: Anarchy,James DeMonaco,"['Frank Grillo', 'Carmen Ejogo']",United States,Dystopian thriller
The Quiet Hour,Stéphanie Joalland,"['Karl Davies', 'Brigitte Millar', 'Dakota Blue Richards']",Republic of Ireland,[37]
RoboCop,José Padilha,"['Joel Kinnaman', 'Gary Oldman', 'Michael Keaton', 'Samuel L. Jackson']",United States,Cyberpunk action
The Signal,William Eubank,"['Brenton Thwaites', 'Olivia Cooke', 'Laurence Fishburne', 'Sarah Clarke']",United States,Mystery
Son of Batman,Ethan Spaulding,"[""Jason O'Mara"", 'Thomas Gibson', 'Stuart Allan']",United States,Animated superhero film
Space Station 76,Jack Plotnick,"['Patrick Wilson', 'Liv Tyler', 'Matt Bomer']",United States,Retro comedy
Teenage Mutant Ninja Turtles,Jonathan Liebesman,"['Megan Fox', 'Will Arnett', 'William Fichtner', 'Whoopi Goldberg']",United States,Action comedy
Time Lapse,Bradley D. King,"['Danielle Panabaker', ""Matt O'Leary"", 'George Finn']",United States,Thriller
Transcendence,Wally Pfister,"['Johnny Depp', 'Paul Bettany', 'Rebecca Hall']",United States,Posthuman
Transformers: Age of Extinction,Michael Bay,"['Mark Wahlberg', 'Jack Reynor', 'Nicola Peltz']",United States,Action
Space Battleship Yamato 2199: Odyssey of the Celestial Ark,,[],Japan,Anime film
Space Battleship Yamato 2199: A Voyage to Remember,,[],Japan,Anime film
Spring,Aaron Scott Moorhead,"['Vanessa Bednar', 'Nadia Hilker', 'Lou Taylor Pucci']",United States,
Under the Skin,Jonathan Glazer,"['Scarlett Johansson', 'Kryštof Hádek', 'Robert J. Goodwin']",United Kingdom,Art film
X-Men: Days of Future Past,Bryan Singer,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",United States,Superhero
Aliens: Zone-X,Thomas R. Dickens,"['David J. Burke', 'Chris Harper']",United States,
Ant-Man,Peyton Reed,"['Paul Rudd', 'Michael Douglas', 'Evangeline Lilly']",United States,Superhero
Avengers: Age of Ultron,Joss Whedon,"['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson']",United States,Superhero
Chappie,Neill Blomkamp,"['Sharlto Copley', 'Watkin Tudor Jones', 'Yolandi Visser']",United States,
The Divergent Series: Insurgent,Robert Schwentke,"['Shailene Woodley', 'Theo James', 'Ansel Elgort']",United States,
The End of the World and the Cat's Disappearance,Michihiro Takeuchi,"['Izukoneko, Jun Aonami, Daisuke Nishijima']",Japan,[39]
Equals,Drake Doremus,"['Nicholas Hoult', 'Vernetta Lopez', 'Scott Lawrence']",United States,Romantic drama
Ex Machina,Alex Garland,"['Domhnall Gleeson', 'Alicia Vikander', 'Oscar Isaac']",United Kingdom,Posthuman
Fantastic Four,Josh Trank,"['Miles Teller', 'Kate Mara', 'Michael B. Jordan', 'Jamie Bell']",United States,Superhero
Ghost in the Shell: The New Movie,,[],Japan,
Hardcore Henry,Ilya Naishuller,"['Sharlto Copley', 'Tim Roth', 'Haley Bennett']",Russia,Action adventure
The Hunger Games: Mockingjay – Part 2,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",United States,
Infini,Shane Abbess,"['Daniel MacPherson', 'Grace Huang', 'Luke Hemsworth']",Australia,
Jupiter Ascending,The Wachowskis,"['Mila Kunis', 'Channing Tatum', 'Sean Bean', 'Eddie Redmayne']",United States,Space opera
Jurassic World,Colin Trevorrow,"['Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins', 'Nick Robinson']",United States,
Kung Fury,David Sandberg,"['David Sandberg, ', 'Jorma Taccone', ', Leopold Nilsson']",Sweden,Short film
Mad Max: Fury Road,George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']",Australia,Post-apocalyptic action
The Martian,Ridley Scott,"['Matt Damon', 'Jessica Chastain', 'Jeff Daniels']",United States,Survival drama
Maze Runner: The Scorch Trials,Wes Ball,"[""Dylan O'Brien"", 'Thomas Brodie-Sangster', 'Giancarlo Esposito']",United States,
Monsters: Dark Continent,Tom Green,"['Joe Dempsie', 'Johnny Harris', 'Sofia Boutella']",United Kingdom,Monster movie
On Line,Li Changxin,"['Liu Mengmeng, Li Ning, Kang Enhe']",China,Action
Pixels,Chris Columbus,"['Adam Sandler', 'Kevin James', 'Michelle Monaghan', 'Peter Dinklage']",United States,Action comedy
Project Almanac,Dean Israelite,"['Jonny Weston', ""Sofia Black D'Elia"", 'Amy Landecker']",United States,
Psycho-Pass: The Movie,Naoyoshi Shiotani,[],Japan,Anime film
Self/less,Tarsem Singh,"['Ryan Reynolds', 'Ben Kingsley']",United States,Mystery thriller
Star Wars: The Force Awakens,J. J. Abrams,"['Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac']",United States,Space opera
Terminator Genisys,Alan Taylor,"['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke', 'Jai Courtney']",United States,Time travel action
Tomorrowland,Brad Bird,"['Britt Robertson', 'George Clooney']",United States,
Vice,Brian A. Miller,"['Bruce Willis', 'Thomas Jane', 'Ambyr Childers']",United States,
The 5th Wave,J Blakeson,"['Chloë Grace Moretz', 'Nick Robinson', 'Alex Roe', 'Liev Schreiber']",United States,
10 Cloverfield Lane,Dan Trachtenberg,"['Mary Elizabeth Winstead', 'John Goodman', 'John Gallagher Jr.', 'Bradley Cooper']",United States,Psychological thriller
24,Vikram Kumar,"['Suriya', 'Samantha Ruth Prabhu']",India,Time Travel
Approaching the Unknown,Mark Elijah Rosenberg,"['Mark Strong', 'Luke Wilson', 'Sanaa Lathan']",United States,
Arrival,Denis Villeneuve,"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker']",United States,
Batman v Superman: Dawn of Justice,Zack Snyder,"['Henry Cavill', 'Ben Affleck', 'Amy Adams', 'Laurence Fishburne', 'Gal Gadot']",United States,Superhero
Captain America: Civil War,Russo brothers,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",United States,Superhero
Cell,Tod Williams,"['John Cusack', 'Stacy Keach', 'Samuel L. Jackson']",United States,
Colossal,Nacho Vigalondo,"['Anne Hathaway', 'Dan Stevens', 'Jason Sudeikis', 'Austin Stowell', 'Tim Blake Nelson']",Canada,
The Divergent Series: Allegiant,Robert Schwentke,"['Shailene Woodley', 'Theo James']",United States,
Doctor Strange,Scott Derrickson,"['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Tilda Swinton']",United States,
The Girl with All the Gifts,Colm McCarthy,"['Gemma Arterton', 'Paddy Considine', 'Glenn Close']",United Kingdom,
Independence Day: Resurgence,Roland Emmerich,"['Liam Hemsworth', 'Jessie Usher', 'Jeff Goldblum']",United States,Disaster film
Kill Command,Steven Gomez,"['Thure Lindhardt', 'Vanessa Kirby']",United Kingdom,
Max Steel,Stewart Hendler,"['Ben Winchell', 'Ana Villafañe', 'Andy García']",United States,
Midnight Special,Jeff Nichols,"['Michael Shannon', 'Joel Edgerton', 'Kirsten Dunst']",United States,Supernatural drama
Morgan,Luke Scott,"['Kate Mara', 'Anya Taylor-Joy', 'Paul Giamatti']",United States,
The Purge: Election Year,James DeMonaco,"['Frank Grillo', 'Elizabeth Mitchell', 'Mykelti Williamson']",United States,Dystopian thriller
Passengers,Morten Tyldum,"['Jennifer Lawrence', 'Chris Pratt', 'Michael Sheen']",United States,Romantic drama
Ratchet & Clank,Kevin Munroe,"['James Arnold Taylor', 'David Kaye', 'Paul Giamatti', 'John Goodman']",United States,Animated action comedy
Rogue One,Gareth Edwards,"['Felicity Jones', 'Diego Luna', 'Riz Ahmed']",United States,Space opera
Rupture,Steven Shainberg,"['Noomi Rapace', 'Peter Stormare', 'Kerry Bishé']",United States,
Shin Godzilla,Hideaki Anno,"['Hiroki Hasegawa', 'Yutaka Takenouchi', 'Satomi Ishihara']",Japan,Monster movie
Spectral,Nic Mathieu,"['James Badge Dale', 'Max Martini', 'Emily Mortimer', 'Bruce Greenwood']",United States,Military science fiction
Star Trek Beyond,Justin Lin,"['Chris Pine', 'Idris Elba', 'Zachary Quinto', 'Zoe Saldana']",United States,Action adventure
Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,"['Megan Fox', 'Stephen Amell', 'Will Arnett', 'Tyler Perry', 'Laura Linney']",United States,Action comedy
Terra Formars,Takashi Miike,[],Japan,Action horror
X-Men: Apocalypse,Bryan Singer,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Oscar Isaac']",United States,Superhero
24 Hours to Live,Brain Smrz,"['Ethan Hawke', 'Xu Qing', 'Paul Anderson']",South Africa,Action thriller
Alien: Covenant,Ridley Scott,"['Michael Fassbender', 'Katherine Waterston']",United Kingdom,
Attraction,Fyodor Bondarchuk,[],Russia,
Beyond Skyline,Liam O'Donnell,"['Frank Grillo', 'Bojana Novakovic', 'Iko Uwais']",United States,
