Title,Director,Cast,Country,"Subgenre/Notes
"
The Cloud,Gregor Schnitzler,"['Paula Kalenberg', 'Franz Dinda', 'Hans-Laurin Beyerling']",Germany,German title: 
Daft Punk's Electroma,Daft Punk,"['Peter Hurteau', 'Michael Reich']",United States,Drama
The Dark Hour,Elio Quiroga,"['Silke Hornillos Klein', 'Omar Muñoz', 'Pepo Oliva']",Spain,Horror mystery
Day Watch,Timur Bekmambetov,"['Konstantin Khabensky', 'Maria Poroshina', 'Vladimir Menshov']",Russia,Action fantasy
Dead and Deader,Patrick Dinhut,"['Dean Cain', 'Guy Torry', 'Susan Ward']",United States,Television film
Déjà Vu,Tony Scott,"['Denzel Washington', 'Paula Patton', 'Val Kilmer']",United States,Action crime-thriller
Displaced,Martin Holland,"['Mark Strange', 'Malcolm Hankey', 'Stephanie Fend']",United Kingdom,Action adventure
Evil Behind You,Jim Carroll,"['Hilary Kennedy', 'Manuel Velazquez', 'Gwendolynn Murphy']",United States,Horror
The Fountain,Darren Aronofsky,"['Hugh Jackman', 'Rachel Weisz']",United States,Romantic drama
Gamera the Brave,Ryuta Tasaki,"['Ryo Tomioka', 'Kanji Tsuda', 'Kaho']",Japan,Kaiju
The Girl Who Leapt Through Time,Mamoru Hosoda,"['Riisa Naka', ' (voice), ', 'Takuya Ishida', ' (voice), ', 'Mitsutaka Itakura', ' (voice)']",Japan,Anime
Horrors of War,"Peter John Ross, John Whitney","['Jon Osbeck, Joe Lorenzo, Daniel Alan Kiely']",United States,Science fiction horror
The Host,Bong Joon-ho,"['Song Kang-ho', 'Byun Hee-bong', 'Park Hae-il']",South Korea,Monster
Idiocracy,Mike Judge,"['Luke Wilson', 'Maya Rudolph', 'Dax Shepard']",United States,Satirical comedy
Japan Sinks,Shinji Higuchi,"['Tsuyoshi Kusanagi', 'Kou Shibasaki', 'Etsushi Toyokawa']",Japan,Japanese title: Nihon Chinbotsu. Adventure drama
The Kovak Box,Daniel Monzón,"['Timothy Hutton', 'Lucía Jiménez', 'Annette Badland']",Spain,Mystery thriller
Krrish,Rakesh Roshan,"['Hrithik Roshan', 'Priyanka Chopra', 'Naseeruddin Shah', 'Rekha']",India,Hindi superhero film
Lifted,Gary Rydstrom,[],United States,Animation
Paprika,Satoshi Kon,[],Japan,Anime
The Ugly Swans,Konstantin Lopushansky,"['Catherine Dussart', 'Gregory Hlady']",Russia,triller
Renaissance,Christian Volckman,[],Luxembourg,Animation
Southland Tales,Richard Kelly,"['Dwayne Johnson', 'Justin Timberlake', 'Sarah Michelle Gellar', 'Mandy Moore']",United States,Dark comedy drama
